고등교육기관 주소록,,,,,,,,,,,,
,,,,,,,,,,,,
* 2018년 10월 1일 기준,,,,,,,,,,,,
"* 일반대학, 교육대학, 산업대학, 방송통신대학교, 기술대학, 각종학교(전문, 대학과정), 사이버대학(전문, 대학과정), 원격대학(전문, 대학과정), 사내대학(전문,대학과정), 전문대학, 기능대학, 전공대학, 일반대학원, 특수대학원, 전문대학원이 포함됨",,,,,,,,,,,,
* 본 자료는 해당기관에서 작성한 자료임,,,,,,,,,,,,
연도,학교종류,시도,학교명,학교명(영문),본분교,학교상태,설립,우편번호,주소,전화번호,팩스번호,홈페이지
2018,일반대학원,대구,경북대학교 일반대학원,Graduate School,본교,기존,국립,41566,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",053-950-6003        ,,http://grad.knu.ac.kr
2018,특수대학원,대구,경북대학교 경영대학원,Graduate School of Business Administration,본교,기존,국립,41566,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",053-950-5403        ,053-950-5405        ,http://cec.knu.ac.kr/main01.asp
2018,특수대학원,대구,경북대학교 교육대학원,Graduate School of Education ,본교,기존,국립,41566,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",053-950-6124        ,053-950-6801        ,http://gse.knu.ac.kr
2018,특수대학원,대구,경북대학교 국제대학원,Graduate School of International Studies,본교,기존,국립,41566,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",053-950-5103     ,053-950-6101        ,http://gsis.knu.ac.kr
2018,특수대학원,대구,경북대학교 보건대학원,Graduate School of Public Health,본교,기존,국립,41944,"대구광역시 중구 국채보상로 680 (동인동2가, 경북대학교의과대학)",053-420-4872,053-421-1695,http://health.knu.ac.kr
2018,특수대학원,대구,경북대학교 산업대학원,Graduate School of Industry,본교,기존,국립,41566,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",053-950-6143        ,053-958-5054        ,http://ind.knu.ac.kr
2018,특수대학원,대구,경북대학교 정책정보대학원,Graduate School of Policy and Information,본교,기존,국립,41566,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",053-950-5203        ,053-950-5205        ,http://social.knu.ac.kr/HOME/coss/sub.htm?nav_code=cos1466989409
2018,특수대학원,대구,경북대학교 행정대학원,Graduate School of Public Administration,본교,기존,국립,41566,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",053-950-6128,053-950-5454        ,http://webbuild.knu.ac.kr/~gspa
2018,특수대학원,경북,경북대학교 과학기술대학원,Graduate School of Science and Technology,본교,기존,국립,37224,"경상북도 상주시 경상대로 2559 (가장동, 경북대학교상주캠퍼스)",054-530-1502,054-530-1590 ,http://seoksa.knu.ac.kr
2018,전문대학원,대구,경북대학교 법학전문대학원,Kyungpook National University Law School,본교,기존,국립,41566,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",053-950-5456,053-950-5455        ,http://lawschool.knu.ac.kr
2018,특수대학원,대구,경북대학교 수사과학대학원,Graduate School of Forensic and Investigative Science,본교,기존,국립,41944,"대구광역시 중구 국채보상로 680 (동인동2가, 경북대학교의과대학)",053-420-4886        ,053-422-4712       ,knu.ac.kr/wbbs/wbbs/contents/index.action?menu_url=edu/school04_02&menu_idx=41
2018,전문대학원,대구,경북대학교 의학전문대학원,Kyungpook National University School of Medicine,본교,기존,국립,41944,"대구광역시 중구 국채보상로 680 (동인동2가, 경북대학교의과대학)",053-420-4910   ,053-422-9195,http://med.knu.ac.kr
2018,전문대학원,대구,경북대학교 치의학전문대학원,Kyungpook National University of School of Dentistry,본교,기존,국립,41940,"대구광역시 중구 달구벌대로 2177 (삼덕동2가, 경북대학교치의학전문대학원)",053-660-6804,053-425-6025        ,http://dent.knu.ac.kr
2018,특수대학원,대구,경북대학교 농업생명융합대학원,Graduate School of Agriculture and Bio-Convergence,본교,기존,국립,41566,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",053-950-5704        ,053-950-6701      ,http://www.knu.ac.kr
2018,대학교,경남,경상대학교,GYEONGSANG NATIONAL UNIVERSITY,본교,기존,국립,52828,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",055-772-0114,055-772-0359,"www.gnu.ac.kr		"
2018,일반대학원,경남,경상대학교 대학원,THE GRADUATE SCHOOL OF GSNU,본교,기존,국립,52828,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",055-772-0087       ,055-772-0089        ,graduate.gnu.ac.kr
2018,특수대학원,경남,경상대학교 경영대학원,GRADUATE SCHOOL OF BUSINESS ADMINISTATION,본교,기존,국립,52828,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",055-772-1504        ,055-772-1505        ,bizone.gnu.ac.kr
2018,특수대학원,경남,경상대학교 교육대학원,GRADUATE SCHOOL OF EDUCATION,본교,기존,국립,52828,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",055-772-2015        ,055-772-2119        ,gradedu.gnu.ac.kr
2018,특수대학원,경남,경상대학교 보건대학원,Graduate School of Public Health,본교,기존,국립,52727,"경상남도 진주시 진주대로816번길 15 (주약동, 경상대학교간호대학)",055-772-8208        ,055-772-8209        ,health.gnu.ac.kr
2018,특수대학원,경남,경상대학교 행정대학원,GRADUATE SCHOOL OF PUBLIC ADMINISTRATION,본교,기존,국립,52828,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",055-772-1204  ,055-772-1219        ,padm.gnu.ac.kr
2018,전문대학원,경남,경상대학교 의학전문대학원,Gyeongsang National University,본교,폐교,국립,52727,"경상남도 진주시 진주대로816번길 15 (주약동, 경상대학교의학전문대학원)",055-772-8008,055-772-8013        ,medicine.gnu.ac.kr
2018,특수대학원,경남,경상대학교 융합과학기술대학원,GRADUATE SCHOOL OF CONVERGENCE SCIENCE AND THECHNOLOGY,본교,기존,국립,52828,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",055-772-1608        ,055-772-1619        ,sanup.gnu.ac.kr
2018,특수대학원,경남,경상대학교 항공우주특성화대학원,Specialized Graduate School of Aerospace Engineering,본교,기존,국립,52828,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",055-772-1608        ,055-772-1619        ,sgsae.gnu.ac.kr/main/
2018,특수대학원,경남,경상대학교 토지주택대학원,THE GRADUATE SCHOOL OF LAND AND HOUSING,본교,기존,국립,52828,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",055-772-1608,055-772-1619,lh.gnu.ac.kr
2018,대학교,충남,공주대학교,Kongju National University,본교,기존,국립,32588,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",041-850-8114        ,,http://www.kongju.ac.kr/
2018,일반대학원,충남,공주대학교대학원,The Graduate School of Kongju National University,본교,기존,국립,32588,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",041-850-8114        ,041-850-8410        ,host.kongju.ac.kr/graduate/main/
2018,특수대학원,충남,공주대학교경영행정대학원,Graduate School of Business & Pub. Adm.,본교,기존,국립,32588,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",041-850-8352        ,041-850-8355        ,gbpa.kongju.ac.kr/main/main.php
2018,특수대학원,충남,공주대학교교육대학원,Graduate School of Education of KNU,본교,기존,국립,32588,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",041-850-8159        ,041-850-8165        ,host.kongju.ac.kr/grad/
2018,특수대학원,충남,공주대학교산업과학대학원,Graduate School of Industrial Sciences of KNU,본교,기존,국립,32439,"충청남도 예산군 예산읍 대학로 54 (대회리, 공주대학교산업과학대학)",041-330-1011,,gsis.kongju.ac.kr/
2018,특수대학원,충남,공주대학교특수교육대학원,Special Education Graduate School,본교,기존,국립,32588,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",041-850-8409        ,041-850-8410        ,special.kongju.ac.kr/main/index.action
2018,특수대학원,충남,공주대학교 안보과학대학원,Graduate School of Security Science,본교,기존,국립,32588,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",041-850-8166        ,041-850-8410        ,ss.kongju.ac.kr/main/index.action
2018,특수대학원,충남,공주대학교 문화유산대학원,Graduate School of Cultural Heritage,본교,기존,국립,32588,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",041-850-8141,041-850-8410        ,heritage.kongju.ac.kr/main/index.action
2018,특수대학원,충남,공주대학교 테크노융합대학원,GRADUATE SCHOOL of TECHNOLOGY& CONVERGENCE ,본교,기존,국립,31080,"충청남도 천안시 서북구 천안대로 1223-24 (부대동, 공주대학교천안공과대학)",041-521-9078,041-521-9079,technology.kongju.ac.kr
2018,대학교,전북,군산대학교,KUNSAN NATIONAL UNIVERSITY,본교,기존,국립,54150,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",063-469-4113        ,,www.kunsan.ac.kr/index.kunsan
2018,일반대학원,전북,군산대학교대학원,"GRADUATESCHOOLOFTHEUNIVER,KUNSANNATIONALUNIVERSITY",본교,기존,국립,54150,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",063-469-4171        ,,www.kunsan.ac.kr/index.kunsan
2018,특수대학원,전북,군산대학교경영행정대학원,"Graduate School of Business and Public Administration, Kunsan National University",본교,기존,국립,54150,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",063-469-4447        ,063-466-2084        ,www.kunsan.ac.kr/index.kunsan
2018,특수대학원,전북,군산대학교교육대학원,"Graduate School of Education, Kunsan National University",본교,기존,국립,54150,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",063-469-4306        ,063-466-2083        ,www.kunsan.ac.kr/index.kunsan
2018,특수대학원,전북,군산대학교산업대학원,"Graduate School of Industry, Kunsan National University",본교,기존,국립,54150,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",063-469-4675        ,,www.kunsan.ac.kr/index.kunsan
